x,y,z,C,R,G,B
0.00,0.00,0.00,0,0.0,0.0,0.0
-5.06,-4.13,0.24,1,170.2,191.9,24.8
-5.04,-4.09,0.24,1,170.2,191.9,24.8
-5.13,-4.14,0.24,1,170.2,191.9,24.8
-5.08,-4.07,0.24,1,170.2,191.9,24.8
-5.13,-4.09,0.24,1,170.2,191.9,24.8
-5.13,-4.06,0.24,1,170.2,191.9,24.8
-5.01,-3.97,0.00,1,170.2,191.9,24.8
-5.14,-4.05,0.24,1,170.2,191.9,24.8
-5.09,-4.00,0.00,1,170.2,191.9,24.8
-5.14,-4.02,0.24,1,170.2,191.9,24.8
-5.10,-3.99,0.00,1,170.2,191.9,24.8
-5.17,-4.02,0.24,1,170.2,191.9,24.8
-5.09,-3.95,0.00,1,170.2,191.9,24.8
-5.16,-3.98,0.24,1,170.2,191.9,24.8
-5.14,-3.96,0.00,1,170.2,191.9,24.8
-5.17,-3.97,0.24,1,170.2,191.9,24.8
-5.11,-3.92,0.00,1,170.2,191.9,24.8
-5.27,-4.02,0.25,1,170.2,191.9,24.8
-5.08,-3.87,0.00,1,170.2,191.9,24.8
-5.28,-4.00,0.25,1,170.2,191.9,24.8
-5.01,-4.09,0.18,1,170.2,191.9,24.8
-5.21,-3.94,0.00,1,170.2,191.9,24.8
-5.27,-3.97,0.25,1,170.2,191.9,24.8
-5.04,-4.09,0.18,1,170.2,191.9,24.8
-5.22,-3.92,0.00,1,170.2,191.9,24.8
-5.11,-3.84,-0.23,1,170.2,191.9,24.8
-5.27,-3.94,0.24,1,170.2,191.9,24.8
-5.05,-4.07,0.18,1,170.2,191.9,24.8
-5.20,-3.88,0.00,1,170.2,191.9,24.8
-5.14,-3.83,-0.23,1,170.2,191.9,24.8
-5.28,-3.93,0.24,1,170.2,191.9,24.8
-5.06,-4.06,0.18,1,170.2,191.9,24.8
-5.21,-3.86,0.00,1,170.2,191.9,24.8
-5.13,-3.81,-0.23,1,170.2,191.9,24.8
-5.22,-3.85,0.24,1,170.2,191.9,24.8
-5.09,-4.05,0.18,1,170.2,191.9,24.8
-5.22,-3.85,0.00,1,170.2,191.9,24.8
-5.19,-3.83,-0.23,1,170.2,191.9,24.8
-5.29,-3.88,0.24,1,170.2,191.9,24.8
-5.11,-4.04,0.18,1,170.2,191.9,24.8
-5.25,-3.85,0.00,1,170.2,191.9,24.8
-5.21,-3.82,-0.23,1,170.2,191.9,24.8
-5.27,-3.84,0.24,1,170.2,191.9,24.8
-5.12,-4.03,0.18,1,170.2,191.9,24.8
-5.25,-3.82,0.00,1,170.2,191.9,24.8
-5.23,-3.80,-0.23,1,170.2,191.9,24.8
-5.29,-3.83,0.24,1,170.2,191.9,24.8
-5.13,-4.01,0.18,1,170.2,191.9,24.8
-5.23,-3.79,0.00,1,170.2,191.9,24.8
-5.24,-3.79,-0.23,1,170.2,191.9,24.8
-5.32,-3.83,0.24,1,170.2,191.9,24.8
-5.12,-3.97,0.18,1,170.2,191.9,24.8
-5.24,-3.77,0.00,1,170.2,191.9,24.8
-5.06,-3.93,-0.06,1,170.2,191.9,24.8
-5.27,-3.79,-0.23,1,170.2,191.9,24.8
-5.32,-3.80,0.24,1,170.2,191.9,24.8
-5.12,-3.95,0.18,1,170.2,191.9,24.8
-5.25,-3.75,0.00,1,170.2,191.9,24.8
-5.02,-3.87,-0.06,1,170.2,191.9,24.8
-5.30,-3.78,-0.23,1,170.2,191.9,24.8
-6.77,-4.82,0.92,1,170.2,191.9,24.8
-5.33,-3.78,0.24,1,170.2,191.9,24.8
-5.14,-3.94,0.18,1,170.2,191.9,24.8
-5.26,-3.74,0.00,1,170.2,191.9,24.8
-5.12,-3.92,-0.06,1,170.2,191.9,24.8
-5.35,-3.79,-0.24,1,170.2,191.9,24.8
-6.78,-4.79,0.92,1,170.2,191.9,24.8
-5.35,-3.77,0.24,1,170.2,191.9,24.8
-5.15,-3.92,0.18,1,170.2,191.9,24.8
-5.29,-3.73,0.00,1,170.2,191.9,24.8
-5.12,-3.90,-0.06,1,170.2,191.9,24.8
-5.37,-3.78,-0.24,1,170.2,191.9,24.8
-6.75,-4.74,0.91,1,170.2,191.9,24.8
-5.36,-3.76,0.24,1,170.2,191.9,24.8
-5.16,-3.91,0.18,1,170.2,191.9,24.8
-5.31,-3.72,0.00,1,170.2,191.9,24.8
-5.12,-3.87,-0.06,1,170.2,191.9,24.8
-5.37,-3.76,-0.24,1,170.2,191.9,24.8
-6.62,-4.62,0.89,1,170.2,191.9,24.8
-6.77,-5.09,0.85,1,170.2,191.9,24.8
-7.40,-5.16,0.67,1,170.2,191.9,24.8
-5.40,-3.76,0.24,1,170.2,191.9,24.8
-5.16,-3.88,0.18,1,170.2,191.9,24.8
-5.05,-4.09,0.12,1,170.2,191.9,24.8
-5.34,-3.72,0.00,1,170.2,191.9,24.8
-5.13,-3.86,-0.06,1,170.2,191.9,24.8
-5.38,-3.74,-0.24,1,170.2,191.9,24.8
-6.63,-4.59,0.89,1,170.2,191.9,24.8
-6.82,-5.10,0.86,1,170.2,191.9,24.8
-5.45,-3.77,0.25,1,170.2,191.9,24.8
-5.17,-3.87,0.18,1,170.2,191.9,24.8
-5.04,-4.06,0.12,1,170.2,191.9,24.8
-5.38,-3.72,0.00,1,170.2,191.9,24.8
-5.14,-3.84,-0.06,1,170.2,191.9,24.8
-5.38,-3.71,-0.24,1,170.2,191.9,24.8
-6.64,-4.57,0.89,1,170.2,191.9,24.8
-5.45,-3.75,0.25,1,170.2,191.9,24.8
-5.20,-3.86,0.18,1,170.2,191.9,24.8
-5.04,-4.03,0.12,1,170.2,191.9,24.8
-5.40,-3.71,0.00,1,170.2,191.9,24.8
-5.16,-3.83,-0.06,1,170.2,191.9,24.8
-5.39,-3.70,-0.24,1,170.2,191.9,24.8
-6.64,-4.54,0.89,1,170.2,191.9,24.8
-7.17,-4.90,0.64,1,170.2,191.9,24.8
-5.48,-3.74,0.25,1,170.2,191.9,24.8
-5.21,-3.84,0.18,1,170.2,191.9,24.8
-5.07,-4.03,0.12,1,170.2,191.9,24.8
-5.43,-3.70,0.00,1,170.2,191.9,24.8
-5.18,-3.82,-0.06,1,170.2,191.9,24.8
-5.41,-3.69,-0.24,1,170.2,191.9,24.8
-6.65,-4.52,0.89,1,170.2,191.9,24.8
-5.51,-3.74,0.25,1,170.2,191.9,24.8
-5.25,-3.84,0.18,1,170.2,191.9,24.8
-5.10,-4.03,0.12,1,170.2,191.9,24.8
-5.44,-3.69,0.00,1,170.2,191.9,24.8
-5.20,-3.81,-0.06,1,170.2,191.9,24.8
-5.45,-3.69,-0.24,1,170.2,191.9,24.8
-5.14,-3.76,-0.29,1,170.2,191.9,24.8
-5.41,-3.66,-0.47,1,170.2,191.9,24.8
-6.67,-4.50,0.89,1,170.2,191.9,24.8
-7.08,-4.78,0.63,1,170.2,191.9,24.8
-5.56,-3.74,0.25,1,170.2,191.9,24.8
-5.27,-3.84,0.18,1,170.2,191.9,24.8
-5.09,-3.99,0.12,1,170.2,191.9,24.8
-5.44,-3.66,0.00,1,170.2,191.9,24.8
-5.21,-3.79,-0.06,1,170.2,191.9,24.8
-5.46,-3.67,-0.24,1,170.2,191.9,24.8
-5.16,-3.75,-0.29,1,170.2,191.9,24.8
-5.44,-3.66,-0.48,1,170.2,191.9,24.8
-6.67,-4.47,0.89,1,170.2,191.9,24.8
-7.10,-4.76,0.63,1,170.2,191.9,24.8
-5.60,-3.75,0.25,1,170.2,191.9,24.8
-5.28,-3.82,0.18,1,170.2,191.9,24.8
-5.12,-3.99,0.12,1,170.2,191.9,24.8
-5.49,-3.67,0.00,1,170.2,191.9,24.8
-5.22,-3.77,-0.06,1,170.2,191.9,24.8
-5.48,-3.66,-0.24,1,170.2,191.9,24.8
-5.23,-3.77,-0.29,1,170.2,191.9,24.8
-5.44,-3.63,-0.47,1,170.2,191.9,24.8
-6.65,-4.43,0.88,1,170.2,191.9,24.8
-6.67,-4.80,0.83,1,170.2,191.9,24.8
-6.98,-4.65,0.62,1,170.2,191.9,24.8
-5.87,-4.56,0.41,1,170.2,191.9,24.8
-5.41,-4.52,0.32,1,170.2,191.9,24.8
-5.63,-3.75,0.25,1,170.2,191.9,24.8
-5.29,-3.80,0.18,1,170.2,191.9,24.8
-5.14,-3.99,0.12,1,170.2,191.9,24.8
-5.51,-3.66,0.00,1,170.2,191.9,24.8
-5.23,-3.76,-0.06,1,170.2,191.9,24.8
-5.02,-3.89,-0.12,1,170.2,191.9,24.8
-5.51,-3.66,-0.24,1,170.2,191.9,24.8
-5.25,-3.76,-0.29,1,170.2,191.9,24.8
-5.45,-3.61,-0.47,1,170.2,191.9,24.8
